State	Grant Number	Fiscal Year	Element Name	Grant Status	Obligation Amount	Grant Type	Sponsor Name	Project Description	Park Name	Park County	Park CD.	Park Total Acres
GA	932	2012	YELLOW RIVER PARK	A	98,175.00	A	CITY OF PORTERDALE	Grant funds will be used to acquire 2.5+/- acres of land. Future development of Yellow River Park will include active and passive recreational opportunities such as walking, running and biking on a proposed 3 mile multi-use trail.	YELLOW RIVER PARK	Newton	8	2.2
GA	930	2012	THOMSON CITY PARK	A	64,050.00	C	MCDUFFIE COUNTY	Grant funds will be used to acquire 2.5+/- acres of land; and to develop a walking trail, playground area, passive recreation, a small splash pad and various other support facilities. The long and short term benefits of Thomson City Park is in walking distance of a low income populated area and it will afford the opportunity for children and adults to enjoy an active and passive public park.	THOMSON CITY PARK	McDuffie	10	2.5
GA	938	2012	TUGALOO STATE PARK CAMPGROUND	C	590,000.00	D	GA DEPT OF NATURAL RESOURCES	Grant funds will be used for the enhanced development of campgrounds, picnic area and support facilities at this 393+/- acre site for Tugaloo State Park. This development will allow for greater use of camping facilities by those with disabilities, as well as, increase capacity and quality of camping sites. The short and long term benefits include quality access to a greater number of high quality camping sites.	TUGALOO STATE PARK	FRANKLIN	10	393
GA	931	2012	BROADDUS-DURKAN SOCCER COMPLEX	A	85,050.00	D	CITY OF DALTON	Grant funds will be used for the development of sports and playfields and support facilities at this 20+/- acre park site of Broaddus-durkan Soccer Complex. This site is designed to create a walking trail, using porous cement as a green substitute, around the fields to allow individuals a healthy fitness option. This site will also increase the usage of the park by the local industries during lunch breaks. This site will be a great asset to the Park, and to the citozens of Dalton.	BROADDUS-DURKAN SOCCER COMPLEX	WHITFIELD	9	20
GA	937	2012	TEMPLE PARK EXPANSION	A	105,000.00	D	CITY OF TEMPLE	Grant will be used for the development of sports and playfields and support facilities at this 13+/- acre parksite of Temple Recreation Expansion. In this phase of development, this project will provide the park with much needed soccer playfields, parking and a pedestrian sidewalk network. This site will be a great asset to the Park as well as, to the citizens of Temple.	TEMPLE PARK EXPANSION	Carroll	3	13
GA	936	2012	MAIN STREET PARK	A	105,000.00	D	CITY OF MOULTRIE	Grant funds will be used for the new development of picnic areas, sports and playfields, trails, passive parks, and support facilities at this 5.97+/- acre park site of Main Street Park. This park is a new development for the community, where no previous park has existed. It will be the only outdoor recreation area within the City limits that includes a public playground, an accessible restrooms, and sheltered picnic area on site.	MAIN STREET PARK	Colquitt	8	6
GA	935	2012	SILVER COMET TRAIL LINEAR PARK	A	105,000.00	D	CITY OF POWDER SPRINGS	Grant funds will be used for the development of picnic areas, sports and playfields, rock climbing, dog park and support facilities at this 5+/- acre site. This project will provide recreational opportunities for different segments of the populations to help meet the needs of various ages and users	SILVER COMET TRAIL LINEAR PARK	Cobb	13	5
GA	929	2012	HUNT EDUCATIONAL & CUTURAL PARK	A	53,550.00	R	CITY OF FORT VALLEY	Grant funds will be used for the renovation development of sports and playfields at this 6.382+/- acre park site of Hunt Educational & Cultural Park. This proposed project will resurface and re-grass the softball and football fields; replace the fencing and dugouts surrounding the softball field; purchase and install bleachers; and develop a walking track surrounding the park. The end result will be an attractive, safe public park with appeal to all ages.	HUNT EDUCATIONAL & CULTURAL	Peach	2	6,382.00
GA	933	2012	CITY POND PARK-MIRACLE LEAGUE COMPLEX	A	105,000.00	R	CITY OF COVINGTON	Grant funds will be used for the enhanced renovation development of an existing football field into a Miracle League complex at this 418+/- acre site for City Pond Park. This complex will allow children, youth and adults with mental and/or physical disabilities the opportunity to play baseball. The field will be constructed using specialized rubber surfacing to ensure individuals of any age and any disability will be able to play ball.	CITY POND PARK	Newton	8	418
GA	934	2012	WILLS PARK-CITY POOL	C	105,000.00	R	CITY OF ALPHARETTA	Grant funds will be used for the enhanced renovation development of swimming facilities at this 3.08+/- acre park site of Wills Park. This site will make for a splash pad that is ADA compliant, while still providing a water feature for young children and those who are young at heart.	WILLS PARK	Fulton	6	3.1
GA	928	2012	LUCY ROSS PARK (AKA) BEE TREE PARK	A	26,250.00	R	CITY OF NASHVILLE	Grant funds will be used for the enhanced renovation development of a walking trail, picnic area, sports and playfields, and support facilities at this1.43+/- of an acre site at Lucy Rose Park. the short term benefits of the park will spark local interest because of the new facelift of the park. The longevity of the park will be supported by the multi-use capabilities the park will provide. This site will include exercise, play and passive use of recreation.	LUCY ROSS PARK (AKA) BEE TREE PARK	Berrien	1	1.4
IA	1,289	2012	LAKE DARLING LODGE/BEACH PARKING LOT EXPANSION	A	123,884.47	D	DEPT. OF NATURAL RESOURCES	The Iowa Department of Natural Resources will replace and expand the Lake Darling State Park beach access parking lot. This particular lot will also serve the park lodge constructed in 2008.	LAKE DARLING STATE PARK	WASHINGTON	2	1,415.00
IA	1,288	2012	LAKE ANITA SHOWER BUILDINGS	C	220,000.00	D	DEPT. OF NATURAL RESOURCES	The Iowa Department of Natural Resources will remove and the replace two shower building/restroom facilities at Lake Anita State Park. The existing facilities are more than 44 years old and are beyond reasonable repair.	LAKE ANITA STATE PARK	CASS	5	1,062.00
IA	1,287	2012	DEERWOOD PARK PLAYGROUND IMPROVEMENTS	C	62,346.00	D	CITY OF EVANSDALE	Evansdale will develop a new playground at Deerwood Park. The City continues replacing outdoor recreation facilities here that were damaged by the 2008 Cedar River flood.	DEERWOOD PARK	Black Hawk	0	192
IA	1,292	2012	RENWICK PARK IMPROVEMENTS	C	31,800.00	D	CITY OF RENWICK	Renwick (Humboldt County) will improve Renwick City Park by constructing new play system structures which are designed for use by 2 to 12 year olds, are universally accessible, and meet safety fall zone standards. The remaining scope items are the renovation of the park’s restrooms, upgrading electrical utilities and installing additional lighting within the park, general landscaping between the park boundaries and neighboring residences, and installing a park bench, picnic table, fountain, park sign, and garbage cans.	RENWICK CITY PARK	HUMBOLDT	1	1
IA	1,286	2012	PLAYGROUND IMPROVEMENTS	C	8,910.50	D	CITY OF CLARE	Clare will construct a new playground structure at City Park. The existing playground equipment is dilapidated and unsafe for use.	CITY PARK	WEBSTER	4	0.5
IA	1,285	2012	POOL RENOVATION	A	75,000.00	R	CITY OF POSTVILLE	Postville will renovate the Hall Roberts swimming pool at Lull’s Park. The facility was closed in 2010 due to excessive leaking. The renovation project will reuse as many components of the old pool and pool system as possible. A zero depth area will be added for greater access by limited mobility users. The existing wading pool will be removed and replaced with a splash pad.	LULL'S PARK	ALLAMAKEE	1	10
ID	561	2012	AMERICAN FALLS SKATE PARK	C	82,250.00	D	CITY OF AMERICAN FALLS	Develop a new skate park in American Falls within an existing park with ball fields and parking. The grant will help fund: land survey, design and engineering, constructing the skate park structure, fencing, walkways and ramp, sprinkler system redesign and repair, ground preparation and landscaping.	LEE STREET PARK	Power	2	20.6
ID	560	2012	MAJESTIC PARK DEVELOPMENT	C	117,927.00	D	CITY OF RATHDRUM	This grant will develop a new park in Rathdrum consisting of two new softball fields (including backstops, dugouts, and outfield fencing) with opportunities to restripe the natural grass surface for football and soccer, a playground suitable for ages 5-12, a splash pad/park, furnishings (five park benches, bike racks, and a porta-potty), associated landscaping, an approximately 186-space gravel parking area with four paved ADA compliant parking spots, and paths between these major features plus the costs of engineering and design.	MAJESTIC PARK	Kootenai	1	11.2
IL	970	2012	MUIRHEAD ACQUISITION BOWES CREEK	A	576,080.00	A	KANE COUNTY FOREST PRESERVE DIST.	The Kane County Forest Preserve District will acquire 142.5 acres to create the Bowes Creek Woods. Much of the new park is in wetlands, so its future development is envisioned to include trails and general support facilities.	BOWES-CREEK WOODS	KANE	14	142.5
IL	969	2012	CASEY PROPERTY ACQUISITION	C	542,250.00	A	JOLIET PARK DIST.	The Joliet Park District will acquire 108.8 acres for the creation of Beane Homestead Park. Future development includes soccer, softball, and baseball fields plus trails within a forest setting.	BEANE HOMESTEAD PARK	WILL	11	108.8
IL	971	2012	MOSSVILLE SOCCER COMPLEX	C	245,000.00	D	PEORIA PARK DIST.	The Peoria Park District will improve the Mossville Soccer Complex by constructing soccer fields, a lacrosse/cricket field, shade structures, and walking paths, plus the installation of bio-swales.	MOSSVILLE SOCCER COMPLEX	PEORIA	18	49.3
IN	579	2012	ARCHBOLD WILSON MEMORIAL PARK	A	137,058.00	C	OSSIAN PARK BOARD	The Ossian Park Board will create Archbold Wilson Memorial Park by acquiring (by donation) 33 acres plus the construction of a picnic area, a man-made lake, a skate park, and an accessible parking area. Upon completion, the skate park component will be the first of its kind in Wells County. NEW PARK	ARCHBOLD WILSON MEMORIAL PARK	WELLS	6	33
IN	578	2012	BIG WALNUT COMMUNITY PARK, PHASE II	A	200,000.00	C	GREENCASTLE PARK BOARD	The Greencastle Park Board will expand Big Walnut Community Park with an 11.5-acre donation plus renovate an existing softball field with new dugouts, bleachers, parking lot, and restrooms; construct an additional nine holes to the existing nine-hole disc golf course; and construct an off-leash dog park area. The creation of the dog park will be the first of its kind in Putnam County, thus providing a new type of outdoor recreation opportunity.	BIG WALNUT COMMUNITY PARK	PUTNAM	8	30.7
IN	576	2012	WHITE RIVER GREENWAY	A	200,000.00	C	MORGAN COUNTY PARK BOARD	The Morgan County Park Board will acquire 29 acres for development of the first segment of a new river greenway along the White River. The grant scope also includes the initial construction of a parking area for the trailhead, the trail, a picnic area, a fishing node, native planting, and a nature observation area.	WHITE RIVER GREENWAY	MORGAN	9	29
IN	577	2012	RIVERSIDE GARDEN PARK	A	199,550.00	C	LEO-CEDARVILLE PARK BOARD	The Leo-Cedarville Park Board will acquire 3 acres adjacent to the existing 8-acre Riverside Garden Park and construct picnic and playground areas, 2 sand volleyball courts, 4 horseshoe pits, a splash pad, solar lighting for park signs and converting a wood chip trail to a hard surfaced trail.	RIVERSIDE GARDEN PARK	ALLEN	3	11
KS	750	2012	ELK CITY STATE PARK CABIN DEVELOPMENT	A	60,411.50	D	DEPT. OF WILDLIFE & PARKS	The Kansas Department of Wildlife, Parks and Tourism will construct rustic cabins, utilities, a road, and parking within the 857-acre Elk City State Park. This park is adjacent to the Elk City Reservoir and the 12,000-acre Elm City State Wildlife Area in Montgomery County.	ELK CITY STATE PARK	MONTGOMERY	4	857
KS	752	2012	GARVIN PARK PLAYGROUND	C	100,000.00	D	CITY OF AUGUSTA	Augusta (Butler County) will improve the 33-acre Garvin Park by constructing a playground, a 10-stall parking lot, and accessible routes (sidewalks) from the parking to the playground. The playground equipment will include numerous access and transfer points, walk through tunnels, multiple vertical and circular ladders and swing areas, climbing obstacle points, and straight and twisted slides, all located upon an accredited safety surface. Additional open play and exercise areas will be incorporated into this playground.	GARVIN PARK	Butler	4	33
KY	1,436	2012	COVE SPRING II PAVILION AND ARCHERY	C	30,000.00	D	CITY OF FRANKFORT	Grant funds will be used at the 250+/- acre site of Cove Spring II. This site will consist of the development of ground shelter picnic areas, an archery range and support facilities. The archery facilities will include three adjacent outdoor static archery ranges and a 3-D archery range along with targets and archery equipment. Other aspects of the project will include native landscaping, signage and park amenities. This park will be a great asset to the community.	COVE SPRING PARK	FRANKLIN	6	250
KY	1,440	2012	BERT T COMBS PARK IMPROVEMENTS	A	24,828.00	D	CITY OF MANCHESTER	Grant funds will be used for the development of support facilities at this +/- acre site for Bert T. combs Park. The support facilities will be used to support the RV campsite ares, and will be an asset to the recreational area.	BERT T. COMBS PARK	CLAY	5	200
